Feature,Permutation,Permutation_Std,Integrated_Gradients
timestamp_age,-0.006816303730010987,0.0015817390330332352,1.1997223e-05
intensity,-0.004956948757171631,0.0025786014027910755,1.7336226e-05
response_latency,-0.002023196220397949,0.0005279867496001554,3.7560076e-06
complexity,-0.001156926155090332,0.0006877674940155248,4.987619e-07
change_size,-6.098747253417969e-05,4.076780627682805e-05,1.958714e-07
action_type,0.0,0.0,3.69e-43
quality,0.0,0.0,5.24e-43
collaboration,0.0,0.0,8.11e-43
files_count,0.00017232894897460936,7.388034935285877e-05,3.617784e-07
