feature,importance
activity_freq_7d,0.55002487
total_changes,0.23312749
activity_freq_90d,0.21528733
experience_days,0.19380206
total_projects,0.19353788
review_load_30d,0.16747974
review_load_7d,0.1608164
experience_normalized,0.15677924
activity_freq_30d,0.1501223
review_load_90d,0.13375205
