,0-3m,3-6m,6-9m,9-12m
0-3m,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.6190476190476191
3-6m,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.6190476190476191
6-9m,0.59375,0.5333333333333333,0.5416666666666666,0.52
9-12m,0.5,0.3684210526315789,0.35294117647058826,0.3333333333333333
