,0-3m,3-6m,6-9m,9-12m
0-3m,0.8296853625170999,0.7468253968253968,0.7849462365591398,0.775735294117647
3-6m,0.8034146341463415,0.8024509803921568,0.7523510971786834,0.7123456790123457
6-9m,0.6649159663865546,0.8073022312373225,0.6833333333333333,0.6919642857142858
9-12m,0.0,0.0,0.0,0.0
