,0-3m,3-6m,6-9m,9-12m
0-3m,0.8846153846153846,0.8461538461538461,0.8181818181818182,0.782608695652174
3-6m,0.875,0.8387096774193549,0.7333333333333333,0.7
6-9m,0.825,0.7368421052631579,0.6756756756756757,0.6410256410256411
9-12m,0.825,0.8292682926829268,0.75,0.7027027027027027
