feature,coef_scaled,coef_original,abs_coef_scaled,abs_coef_original
action_intensity_last,0.7498222250548714,3.7738222107651596,0.7498222250548714,3.7738222107651596
state_collaboration_diversity_last,0.7096763599274227,3.5218259264501794,0.7096763599274227,3.5218259264501794
action_change_size_max,0.3886958399316679,0.00010911271306058247,0.3886958399316679,0.00010911271306058247
state_activity_freq_30d_trend,-0.3494933616673899,-1.4047351330975082,0.3494933616673899,1.4047351330975082
state_activity_freq_90d_last,0.3236110038870501,1.6320640119511214,0.3236110038870501,1.6320640119511214
state_weekend_activity_ratio_mean,0.31960605627411043,7.723813728246666,0.31960605627411043,7.723813728246666
state_code_churn_30d_mean,-0.30874166731148195,-0.0010335216408121346,0.30874166731148195,0.0010335216408121346
state_lines_changed_7d_mean,-0.29123821861649235,-0.00013624475137057743,0.29123821861649235,0.00013624475137057743
state_lines_changed_7d_max,0.28833882348452705,9.581591036808318e-06,0.28833882348452705,9.581591036808318e-06
action_change_size_mean,-0.2768911830303847,-0.0008639297292800678,0.2768911830303847,0.0008639297292800678
state_lines_changed_7d_trend,-0.2762382935280433,-3.845768926679918e-05,0.2762382935280433,3.845768926679918e-05
state_code_churn_30d_max,0.24059350334287125,7.194062152221982e-05,0.24059350334287125,7.194062152221982e-05
action_timestamp_age_max,0.236245500611534,0.03717738945223668,0.236245500611534,0.03717738945223668
state_weekend_activity_ratio_min,-0.22425994373307095,-6.299940169296662,0.22425994373307095,6.299940169296662
state_cross_project_ratio_trend,-0.22057699032029693,-0.883331046331925,0.22057699032029693,0.883331046331925
state_review_participation_rate_mean,0.22031775165821987,4.553760536882648,0.22031775165821987,4.553760536882648
action_collaboration_last,0.21934744569244077,1.161941683889842,0.21934744569244077,1.161941683889842
state_review_load_7d_mean,-0.21090081607606048,-0.11958394849219248,0.21090081607606048,0.11958394849219248
state_experience_normalized_max,0.20938012370022957,3.299372271883697,0.20938012370022957,3.299372271883697
state_experience_days_max,0.20938002760941365,5.782779135834085e-05,0.20938002760941365,5.782779135834085e-05
state_peak_activity_hour_max,0.20895077650418223,0.16129575574743038,0.20895077650418223,0.16129575574743038
state_avg_complexity_30d_mean,-0.20530787022394684,-4.25800176694169,0.20530787022394684,4.25800176694169
state_experience_days_mean,-0.20126502104883012,-0.0006426053694780022,0.20126502104883012,0.0006426053694780022
state_experience_normalized_mean,-0.2012649072012131,-36.66389667979891,0.2012649072012131,36.66389667979891
state_specialization_score_mean,-0.20091010646915866,-4.122347739630171,0.20091010646915866,4.122347739630171
state_avg_lines_per_change_trend,0.20020528629294596,0.00010833194110874136,0.20020528629294596,0.00010833194110874136
action_collaboration_max,-0.19450821025566717,-2.5834914489015923,0.19450821025566717,2.5834914489015923
action_timestamp_age_last,-0.1933003651223632,-0.038194277003929265,0.1933003651223632,0.038194277003929265
state_activity_freq_30d_last,0.19022536659374717,1.084963311539274,0.19022536659374717,1.084963311539274
state_review_response_time_mean,0.18543514379124768,0.10298853117284117,0.18543514379124768,0.10298853117284117
action_timestamp_age_mean,-0.18405981765509694,-0.14598404575875432,0.18405981765509694,0.14598404575875432
state_avg_interaction_strength_last,0.18385368467634694,1.139223651295078,0.18385368467634694,1.139223651295078
state_code_churn_7d_max,-0.17975776445177702,-3.8459770645561883e-05,0.17975776445177702,3.8459770645561883e-05
state_total_files_touched_mean,0.17773835249021855,0.004402805097987323,0.17773835249021855,0.004402805097987323
state_avg_complexity_30d_max,0.17491982094861055,2.372614656216239,0.17491982094861055,2.372614656216239
state_activity_freq_90d_trend,0.17328302074478075,0.6101227731476048,0.17328302074478075,0.6101227731476048
state_activity_freq_30d_max,0.17195876160329338,1.7079111347423475,0.17195876160329338,1.7079111347423475
action_collaboration_trend,-0.16876374788036017,-0.6438184813950277,0.16876374788036017,0.6438184813950277
state_activity_freq_7d_min,0.16273484234217092,4.496682883317254,0.16273484234217092,4.496682883317254
state_avg_interaction_strength_trend,-0.1570422387932512,-0.691140212888773,0.1570422387932512,0.691140212888773
state_avg_review_depth_mean,-0.14755528859599332,-2.8162612610623294,0.14755528859599332,2.8162612610623294
state_total_projects_trend,-0.14746638266901285,-0.018550064020964877,0.14746638266901285,0.018550064020964877
state_avg_directory_depth_min,0.14391178691802275,1.564125048849407,0.14391178691802275,1.564125048849407
state_total_files_touched_min,-0.14109266895702416,-0.08764895720072972,0.14109266895702416,0.08764895720072972
state_avg_files_per_change_trend,-0.14070638932957197,-0.017793072969025683,0.14070638932957197,0.017793072969025683
action_intensity_trend,-0.13985420599492257,-0.49482360235075484,0.13985420599492257,0.49482360235075484
state_lines_changed_7d_last,0.1376333280666523,2.360922931520666e-05,0.1376333280666523,2.360922931520666e-05
action_intensity_max,0.1364455686463735,2.49223386292477,0.1364455686463735,2.49223386292477
state_total_projects_min,-0.13402492756793427,-0.47150912547816853,0.13402492756793427,0.47150912547816853
state_specialization_score_last,0.13316346386348257,0.7149982588828301,0.13316346386348257,0.7149982588828301
action_response_latency_mean,-0.13116973452241532,-0.25973112214967425,0.13116973452241532,0.25973112214967425
state_weekend_activity_ratio_trend,0.13065322405047888,0.5836147631566619,0.13065322405047888,0.5836147631566619
action_files_count_mean,-0.1258698224399824,-0.28453330660138915,0.1258698224399824,0.28453330660138915
state_total_projects_max,-0.12516216243211153,-0.010337468526140965,0.12516216243211153,0.010337468526140965
state_peak_activity_hour_last,0.12453929756428674,0.01794116303984078,0.12453929756428674,0.01794116303984078
action_change_size_min,0.12275547523588255,0.010136991519007758,0.12275547523588255,0.010136991519007758
