metric,Baseline_IRL_mean,Random_Forest_mean,Difference,IRL_better_cells,RF_better_cells,Valid_cells
AUC-ROC,0.6786508503618699,0.7999733135388631,-0.12132246317699331,1,9,10
AUC-PR,0.5395321188960929,0.7435576634798944,-0.2040255445838016,1,9,10
F1 Score,0.5631018609536544,0.7177009896105264,-0.15459912865687203,0,10,10
