metric,Baseline_IRL_mean,Random_Forest_mean,Difference,IRL_better_cells,RF_better_cells
AUC-ROC,0.7353854630899702,0.7812902271209461,-0.04590476403097591,7,9
AUC-PR,0.6279774379366169,0.7176164268414436,-0.08963898890482667,7,9
F1 Score,0.6051450878064852,0.6986489060778542,-0.09350381827136903,4,12
