history_months,target_months,reference_period_months,target_reviewer_count,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,6,343,True,15,192,49,0.7692307692307693,0.8349200861549028,0.673469387755102,0.7083333333333334,0.6538461538461539,0.68,importants/irl_matrix_2022q2/models/irl_h3m_t3m_fixed_seq.pth
3,6,6,343,True,15,192,49,0.7789115646258504,0.8683300550318995,0.6530612244897959,0.6666666666666666,0.7857142857142857,0.7213114754098361,importants/irl_matrix_2022q2/models/irl_h3m_t6m_fixed_seq.pth
3,9,6,343,True,15,192,49,0.7371323529411765,0.8702609550627967,0.6122448979591837,0.8421052631578947,0.5,0.6274509803921569,importants/irl_matrix_2022q2/models/irl_h3m_t9m_fixed_seq.pth
3,12,6,343,True,15,192,49,0.6745098039215687,0.8622909877712123,0.6530612244897959,0.7575757575757576,0.7352941176470589,0.746268656716418,importants/irl_matrix_2022q2/models/irl_h3m_t12m_fixed_seq.pth
6,3,6,343,True,15,274,69,0.763047138047138,0.8177903888324235,0.7391304347826086,0.8947368421052632,0.5151515151515151,0.6538461538461539,importants/irl_matrix_2022q2/models/irl_h6m_t3m_fixed_seq.pth
6,6,6,343,True,15,274,69,0.7922297297297298,0.8637719392419714,0.7246376811594203,0.875,0.5675675675675675,0.6885245901639344,importants/irl_matrix_2022q2/models/irl_h6m_t6m_fixed_seq.pth
6,9,6,343,True,15,274,69,0.7597623089983022,0.8427403601519929,0.7246376811594203,1.0,0.5,0.6666666666666666,importants/irl_matrix_2022q2/models/irl_h6m_t9m_fixed_seq.pth
6,12,6,343,True,15,274,69,0.7366379310344826,0.8632533367816161,0.7391304347826086,1.0,0.55,0.7096774193548387,importants/irl_matrix_2022q2/models/irl_h6m_t12m_fixed_seq.pth
9,3,6,343,True,15,274,69,0.8021885521885521,0.8363583208583059,0.7101449275362319,0.76,0.5757575757575758,0.6551724137931034,importants/irl_matrix_2022q2/models/irl_h9m_t3m_fixed_seq.pth
9,6,6,343,True,15,274,69,0.8961148648648649,0.9272939131829974,0.7391304347826086,0.7021276595744681,0.8918918918918919,0.7857142857142857,importants/irl_matrix_2022q2/models/irl_h9m_t6m_fixed_seq.pth
9,9,6,343,True,15,274,69,0.831918505942275,0.895684857149289,0.8260869565217391,0.9333333333333333,0.7368421052631579,0.8235294117647058,importants/irl_matrix_2022q2/models/irl_h9m_t9m_fixed_seq.pth
9,12,6,343,True,15,274,69,0.8090517241379311,0.8857078347837669,0.7681159420289855,0.8529411764705882,0.725,0.7837837837837838,importants/irl_matrix_2022q2/models/irl_h9m_t12m_fixed_seq.pth
12,3,6,343,True,15,274,69,0.82996632996633,0.8611284014693099,0.7391304347826086,0.8260869565217391,0.5757575757575758,0.6785714285714286,importants/irl_matrix_2022q2/models/irl_h12m_t3m_fixed_seq.pth
12,6,6,343,True,15,274,69,0.8572635135135135,0.9043091733095033,0.8115942028985508,0.8529411764705882,0.7837837837837838,0.8169014084507042,importants/irl_matrix_2022q2/models/irl_h12m_t6m_fixed_seq.pth
12,9,6,343,True,15,274,69,0.8293718166383701,0.8889695214837929,0.782608695652174,0.8108108108108109,0.7894736842105263,0.8,importants/irl_matrix_2022q2/models/irl_h12m_t9m_fixed_seq.pth
12,12,6,343,True,15,274,69,0.8159482758620691,0.8879808686728459,0.7681159420289855,0.8529411764705882,0.725,0.7837837837837838,importants/irl_matrix_2022q2/models/irl_h12m_t12m_fixed_seq.pth
