history_months,target_months,reference_period_months,target_reviewer_count,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,6,291,True,15,152,38,0.7662835249042146,0.9227532770624132,0.7105263157894737,0.7647058823529411,0.896551724137931,0.8253968253968254,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t3m_fixed_seq.pth
3,6,6,291,True,15,152,38,0.7816091954022989,0.9262834306544225,0.7631578947368421,0.7631578947368421,1.0,0.8656716417910447,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t6m_fixed_seq.pth
3,9,6,291,True,15,152,38,0.7541666666666667,0.9352459433780042,0.7894736842105263,0.7894736842105263,1.0,0.8823529411764706,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t9m_fixed_seq.pth
3,12,6,291,True,15,152,38,0.8083333333333333,0.9414957000849907,0.7894736842105263,0.7894736842105263,1.0,0.8823529411764706,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t12m_fixed_seq.pth
3,15,6,291,True,15,152,38,0.8333333333333333,0.955968417918931,0.7894736842105263,0.7894736842105263,1.0,0.8823529411764706,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t15m_fixed_seq.pth
3,18,6,291,True,15,152,38,0.8202764976958525,0.951320513754298,0.8157894736842105,0.8157894736842105,1.0,0.8985507246376812,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t18m_fixed_seq.pth
3,21,6,291,True,15,152,38,0.8248847926267281,0.9521742810067471,0.8157894736842105,0.8157894736842105,1.0,0.8985507246376812,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t21m_fixed_seq.pth
3,24,6,291,True,15,152,38,0.7864583333333334,0.950371136418707,0.8421052631578947,0.8421052631578947,1.0,0.9142857142857143,importants/irl_matrix_8x8_2023q1/models/irl_h3m_t24m_fixed_seq.pth
6,3,6,291,True,15,232,59,0.7297297297297298,0.7842529792468598,0.6779661016949152,0.8461538461538461,0.5945945945945946,0.6984126984126984,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t3m_fixed_seq.pth
6,6,6,291,True,15,232,59,0.7615176151761518,0.87985650097823,0.6949152542372882,0.8709677419354839,0.6585365853658537,0.75,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t6m_fixed_seq.pth
6,9,6,291,True,15,232,59,0.6293604651162791,0.8271563048433954,0.5932203389830508,0.9130434782608695,0.4883720930232558,0.6363636363636364,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t9m_fixed_seq.pth
6,12,6,291,True,15,232,59,0.725752508361204,0.8907418861222239,0.4915254237288136,0.9444444444444444,0.3695652173913043,0.53125,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t12m_fixed_seq.pth
6,15,6,291,True,15,232,59,0.7575250836120402,0.9131421784971758,0.5423728813559322,0.9523809523809523,0.43478260869565216,0.5970149253731343,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t15m_fixed_seq.pth
6,18,6,291,True,15,232,59,0.7357859531772575,0.9176890477003962,0.5932203389830508,0.9230769230769231,0.5217391304347826,0.6666666666666666,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t18m_fixed_seq.pth
6,21,6,291,True,15,232,59,0.7180851063829787,0.9194102020723655,0.7966101694915254,0.7966101694915254,1.0,0.8867924528301887,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t21m_fixed_seq.pth
6,24,6,291,True,15,232,59,0.6723484848484849,0.8992821769625734,0.7796610169491526,0.8181818181818182,0.9375,0.8737864077669902,importants/irl_matrix_8x8_2023q1/models/irl_h6m_t24m_fixed_seq.pth
9,3,6,291,True,15,232,59,0.7235872235872236,0.8132084645841158,0.5932203389830508,0.8823529411764706,0.40540540540540543,0.5555555555555556,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t3m_fixed_seq.pth
9,6,6,291,True,15,232,59,0.6734417344173441,0.8257246543842944,0.576271186440678,0.9,0.43902439024390244,0.5901639344262295,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t6m_fixed_seq.pth
9,9,6,291,True,15,232,59,0.7340116279069767,0.8503135389355312,0.5423728813559322,0.8636363636363636,0.4418604651162791,0.5846153846153846,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t9m_fixed_seq.pth
9,12,6,291,True,15,232,59,0.7725752508361203,0.9049619539441495,0.6101694915254238,0.96,0.5217391304347826,0.676056338028169,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t12m_fixed_seq.pth
9,15,6,291,True,15,232,59,0.7842809364548495,0.9025738803157781,0.711864406779661,0.9393939393939394,0.6739130434782609,0.7848101265822784,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t15m_fixed_seq.pth
9,18,6,291,True,15,232,59,0.7600334448160535,0.8708065080633499,0.7288135593220338,0.8947368421052632,0.7391304347826086,0.8095238095238095,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t18m_fixed_seq.pth
9,21,6,291,True,15,232,59,0.7429078014184397,0.8906853099611377,0.7288135593220338,0.8780487804878049,0.7659574468085106,0.8181818181818182,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t21m_fixed_seq.pth
9,24,6,291,True,15,232,59,0.7424242424242424,0.9070478913462063,0.8135593220338984,0.8135593220338984,1.0,0.897196261682243,importants/irl_matrix_8x8_2023q1/models/irl_h9m_t24m_fixed_seq.pth
12,3,6,291,True,15,232,59,0.6953316953316954,0.8043250219312832,0.6271186440677966,0.8571428571428571,0.4864864864864865,0.6206896551724138,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t3m_fixed_seq.pth
12,6,6,291,True,15,232,59,0.6910569105691057,0.8468059126093008,0.6440677966101694,0.8125,0.6341463414634146,0.7123287671232876,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t6m_fixed_seq.pth
12,9,6,291,True,15,232,59,0.7049418604651162,0.8646468487328823,0.6271186440677966,0.8620689655172413,0.5813953488372093,0.6944444444444444,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t9m_fixed_seq.pth
12,12,6,291,True,15,232,59,0.782608695652174,0.9129647955336028,0.7796610169491526,0.9024390243902439,0.8043478260869565,0.8505747126436781,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t12m_fixed_seq.pth
12,15,6,291,True,15,232,59,0.4899665551839465,0.8174111269780916,0.4576271186440678,0.9375,0.32608695652173914,0.4838709677419355,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t15m_fixed_seq.pth
12,18,6,291,True,15,232,59,0.7207357859531773,0.8890751678638817,0.6610169491525424,0.9333333333333333,0.6086956521739131,0.7368421052631579,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t18m_fixed_seq.pth
12,21,6,291,True,15,232,59,0.7358156028368794,0.9154166347127538,0.711864406779661,0.8125,0.8297872340425532,0.8210526315789474,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t21m_fixed_seq.pth
12,24,6,291,True,15,232,59,0.7272727272727273,0.9138976287397799,0.6610169491525424,0.9666666666666667,0.6041666666666666,0.7435897435897436,importants/irl_matrix_8x8_2023q1/models/irl_h12m_t24m_fixed_seq.pth
15,3,6,291,True,15,232,59,0.7088452088452089,0.8244862602137029,0.6440677966101694,0.7666666666666667,0.6216216216216216,0.6865671641791045,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t3m_fixed_seq.pth
15,6,6,291,True,15,232,59,0.7262872628726287,0.8629834779479552,0.6779661016949152,0.8055555555555556,0.7073170731707317,0.7532467532467533,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t6m_fixed_seq.pth
15,9,6,291,True,15,232,59,0.7034883720930233,0.8747948833522177,0.576271186440678,0.8461538461538461,0.5116279069767442,0.6376811594202898,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t9m_fixed_seq.pth
15,12,6,291,True,15,232,59,0.7993311036789297,0.9265008259112028,0.7457627118644068,0.9428571428571428,0.717391304347826,0.8148148148148148,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t12m_fixed_seq.pth
15,15,6,291,True,15,232,59,0.7959866220735785,0.9211344378107934,0.7457627118644068,0.9428571428571428,0.717391304347826,0.8148148148148148,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t15m_fixed_seq.pth
15,18,6,291,True,15,232,59,0.7692307692307693,0.9167669950763822,0.7288135593220338,0.9411764705882353,0.6956521739130435,0.8,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t18m_fixed_seq.pth
15,21,6,291,True,15,232,59,0.7943262411347518,0.9285895889952457,0.7457627118644068,0.9705882352941176,0.7021276595744681,0.8148148148148148,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t21m_fixed_seq.pth
15,24,6,291,True,15,232,59,0.8409090909090909,0.9419363280329791,0.7457627118644068,0.9714285714285714,0.7083333333333334,0.8192771084337349,importants/irl_matrix_8x8_2023q1/models/irl_h15m_t24m_fixed_seq.pth
18,3,6,291,True,15,232,59,0.7997542997542997,0.8410437822701651,0.6779661016949152,0.8461538461538461,0.5945945945945946,0.6984126984126984,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t3m_fixed_seq.pth
18,6,6,291,True,15,232,59,0.7845528455284553,0.8871467093955749,0.6440677966101694,0.8846153846153846,0.5609756097560976,0.6865671641791045,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t6m_fixed_seq.pth
18,9,6,291,True,15,232,59,0.809593023255814,0.9068217627591344,0.6779661016949152,0.9,0.627906976744186,0.7397260273972602,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t9m_fixed_seq.pth
18,12,6,291,True,15,232,59,0.8712374581939799,0.9434592217702532,0.6949152542372882,0.9666666666666667,0.6304347826086957,0.7631578947368421,importants/irl_matrix_8x8_2023q1/models/irl_h18m_t12m_fixed_seq.pth
