metric,Enhanced_IRL_mean,Random_Forest_mean,Difference,IRL_better_cells,RF_better_cells,Valid_cells
AUC-ROC,0.797120828564794,0.759858229316412,0.037262599248382135,7,3,10
AUC-PR,0.7730689463356806,0.6857270919338776,0.08734185440180305,8,2,10
F1 Score,0.7629637600297572,0.676240321928812,0.08672343810094511,10,0,10
