metric,Enhanced_IRL_mean,Random_Forest_mean,Difference,IRL_better_cells,RF_better_cells
AUC-ROC,0.7811845103332172,0.7812902271209461,-0.00010571678772890863,8,8
AUC-PR,0.7667795574895722,0.7176164268414436,0.049163130648128696,10,6
F1 Score,0.7530764815780956,0.6986489060778542,0.05442757550024141,13,3
