train,eval,pattern,IRL_AUC_ROC,IRL_AUC_PR,IRL_F1,IRL_threshold,RF_AUC_ROC,RF_AUC_PR,RF_F1,RF_threshold,num_samples,num_positive,diff_AUC_ROC,diff_AUC_PR,diff_F1
0-3m,0-3m,train_0-3m/eval_0-3m,0.5854166666666667,0.46500219003420074,0.0,0.40764150619506834,0.876834862385321,0.6873113888347917,0.7142857142857143,0.3391578429283908,129,20,0.29141819571865435,0.22230919880059097,0.7142857142857143
0-3m,3-6m,train_0-3m/eval_3-6m,0.6181818181818182,0.6595531898174335,0.0,0.40764150619506834,0.9253510716925352,0.7874822145299712,0.7346938775510204,0.33915784292839074,145,22,0.307169253510717,0.12792902471253775,0.7346938775510204
0-3m,6-9m,train_0-3m/eval_6-9m,0.5434210526315789,0.46457992786071844,0.0,0.40764150619506834,0.8819776714513556,0.6457942390140533,0.5777777777777777,0.3391578429283907,151,19,0.3385566188197767,0.18121431115333486,0.5777777777777777
0-3m,9-12m,train_0-3m/eval_9-12m,0.45238095238095244,0.373253415781369,0.0,0.40764150619506834,0.9229323308270676,0.6727604538318824,0.5853658536585366,0.3391578429283907,166,14,0.47055137844611516,0.29950703805051343,0.5853658536585366
