feature,weight,abs_weight,type,category
action_feat5_x_feat3_interaction,0.2975444,0.2975444,action,interaction
state_feat3_weighted_mean,0.29734197,0.29734197,state,temporal
state_feat6_min,0.29591018,0.29591018,state,temporal
action_feat4_x_feat6_interaction,-0.29568005,0.29568005,action,interaction
state_feat21_volatility,-0.2954006,0.2954006,state,temporal
action_feat7_x_feat3_interaction,-0.29490972,0.29490972,action,interaction
state_feat30_step3_diff,-0.29353374,0.29353374,state,step_diff
action_feat6_last,0.29283363,0.29283363,action,temporal
state_feat22_trend,-0.2918148,0.2918148,state,temporal
state_feat5_x_feat24_interaction,0.28952998,0.28952998,state,interaction
state_feat8_min,-0.28787798,0.28787798,state,temporal
state_feat24_max,0.2877026,0.2877026,state,temporal
action_feat8_max,0.28558803,0.28558803,action,temporal
state_feat12_last,-0.28535995,0.28535995,state,temporal
state_feat28_max,-0.28514844,0.28514844,state,temporal
state_feat16_trend,-0.28433064,0.28433064,state,temporal
state_feat5_x_feat23_interaction,0.28222594,0.28222594,state,interaction
state_feat23_trend,-0.27970794,0.27970794,state,temporal
state_feat21_mid_mean,-0.2789652,0.2789652,state,temporal
action_feat3_x_feat1_interaction,0.27852866,0.27852866,action,interaction
state_feat29_last,-0.27838254,0.27838254,state,temporal
state_feat19_short_mean,0.27819714,0.27819714,state,temporal
state_feat2_min,-0.27611932,0.27611932,state,temporal
state_feat5_weighted_mean,0.2758995,0.2758995,state,temporal
state_feat11_volatility,0.27559075,0.27559075,state,temporal
action_feat7_x_feat1_interaction,0.2755392,0.2755392,action,interaction
state_feat15_volatility,-0.27303606,0.27303606,state,temporal
state_feat18_volatility,-0.2726489,0.2726489,state,temporal
state_feat21_last,0.2709407,0.2709407,state,temporal
state_feat3_mid_mean,0.26847637,0.26847637,state,temporal
state_feat13_change,-0.2684063,0.2684063,state,temporal
state_feat14_max,0.26784128,0.26784128,state,temporal
state_feat18_weighted_mean,0.26744726,0.26744726,state,temporal
action_feat6_volatility,-0.2666777,0.2666777,action,temporal
action_feat7_short_mean,-0.26400346,0.26400346,action,temporal
state_feat28_short_mean,0.26379523,0.26379523,state,temporal
action_feat1_trend,-0.2636687,0.2636687,action,temporal
state_feat1_step5_diff,0.26172775,0.26172775,state,step_diff
state_feat22_step1_diff,-0.26121962,0.26121962,state,step_diff
state_feat2_change,-0.25922343,0.25922343,state,temporal
state_feat5_mean,0.2584393,0.2584393,state,temporal
state_feat9_trend,-0.25843257,0.25843257,state,temporal
state_feat17_step4_diff,0.25838873,0.25838873,state,step_diff
state_feat7_last,-0.25724754,0.25724754,state,temporal
state_feat24_short_mean,-0.25645232,0.25645232,state,temporal
state_feat7_step2_diff,0.25595438,0.25595438,state,step_diff
state_feat29_min,-0.2546377,0.2546377,state,temporal
action_feat2_short_mean,-0.25353497,0.25353497,action,temporal
action_feat2_trend,0.25214386,0.25214386,action,temporal
state_feat2_mean,0.2517793,0.2517793,state,temporal
state_feat6_step4_diff,-0.2517779,0.2517779,state,step_diff
state_feat17_volatility,-0.25075027,0.25075027,state,temporal
state_feat24_step2_diff,0.25058112,0.25058112,state,step_diff
action_feat4_step5_diff,-0.24869129,0.24869129,action,step_diff
state_feat23_x_feat1_interaction,-0.2484517,0.2484517,state,interaction
state_feat0_step4_diff,-0.24801213,0.24801213,state,step_diff
state_feat26_mean,-0.2463038,0.2463038,state,temporal
state_feat20_x_feat24_interaction,-0.24560168,0.24560168,state,interaction
state_feat14_short_mean,-0.24532466,0.24532466,state,temporal
state_feat19_change,-0.24454334,0.24454334,state,temporal
action_feat4_mid_mean,-0.24448398,0.24448398,action,temporal
state_feat20_x_feat1_interaction,0.24443518,0.24443518,state,interaction
state_feat27_last,0.24378198,0.24378198,state,temporal
state_feat9_short_mean,-0.24370229,0.24370229,state,temporal
state_feat8_x_feat24_interaction,-0.24281415,0.24281415,state,interaction
state_feat20_min,-0.2425569,0.2425569,state,temporal
state_feat27_step1_diff,-0.2415251,0.2415251,state,step_diff
action_feat5_trend,0.24137904,0.24137904,action,temporal
state_feat31_step5_diff,0.24096185,0.24096185,state,step_diff
state_feat17_min,-0.24027422,0.24027422,state,temporal
state_feat2_step2_diff,-0.24025412,0.24025412,state,step_diff
action_feat2_volatility,0.23964044,0.23964044,action,temporal
state_feat30_step5_diff,0.2396387,0.2396387,state,step_diff
state_feat13_step5_diff,0.23904853,0.23904853,state,step_diff
state_feat0_min,0.23785837,0.23785837,state,temporal
state_feat21_step4_diff,0.23767404,0.23767404,state,step_diff
state_feat6_last,-0.23758894,0.23758894,state,temporal
state_feat28_volatility,0.23586744,0.23586744,state,temporal
state_feat14_step4_diff,-0.23310006,0.23310006,state,step_diff
state_feat14_volatility,-0.23212396,0.23212396,state,temporal
state_feat20_step5_diff,0.23172188,0.23172188,state,step_diff
state_feat19_min,-0.23149286,0.23149286,state,temporal
action_feat3_mid_mean,-0.23102225,0.23102225,action,temporal
