history_months,target_months,reference_period_months,target_reviewer_count,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,6,291,True,15,152,38,0.8035714285714285,0.927616374327612,0.7368421052631579,0.7368421052631579,1.0,0.8484848484848485,importants/irl_matrix_2023q1/models/irl_h3m_t3m_fixed_seq.pth
3,6,6,291,True,15,152,38,0.842911877394636,0.9479997760262249,0.7631578947368421,0.7631578947368421,1.0,0.8656716417910447,importants/irl_matrix_2023q1/models/irl_h3m_t6m_fixed_seq.pth
3,9,6,291,True,15,152,38,0.8352490421455939,0.9436060285370602,0.7631578947368421,0.7631578947368421,1.0,0.8656716417910447,importants/irl_matrix_2023q1/models/irl_h3m_t9m_fixed_seq.pth
3,12,6,291,True,15,152,38,0.8625,0.9633538889802029,0.7894736842105263,0.7894736842105263,1.0,0.8823529411764706,importants/irl_matrix_2023q1/models/irl_h3m_t12m_fixed_seq.pth
6,3,6,291,True,15,232,59,0.9000000000000001,0.9571647641252323,0.7457627118644068,0.75,0.9230769230769231,0.8275862068965517,importants/irl_matrix_2023q1/models/irl_h6m_t3m_fixed_seq.pth
6,6,6,291,True,15,232,59,0.8834688346883469,0.9540052298468216,0.8305084745762712,0.9428571428571428,0.8048780487804879,0.868421052631579,importants/irl_matrix_2023q1/models/irl_h6m_t6m_fixed_seq.pth
6,9,6,291,True,15,232,59,0.8691860465116279,0.9523013954242032,0.7796610169491526,0.8947368421052632,0.7906976744186046,0.8395061728395061,importants/irl_matrix_2023q1/models/irl_h6m_t9m_fixed_seq.pth
6,12,6,291,True,15,232,59,0.862040133779264,0.961435031706758,0.6440677966101694,0.9629629629629629,0.5652173913043478,0.7123287671232876,importants/irl_matrix_2023q1/models/irl_h6m_t12m_fixed_seq.pth
9,3,6,291,True,15,232,59,0.8115384615384615,0.9015925590000629,0.6610169491525424,0.7878787878787878,0.6666666666666666,0.7222222222222222,importants/irl_matrix_2023q1/models/irl_h9m_t3m_fixed_seq.pth
9,6,6,291,True,15,232,59,0.8184281842818428,0.9220087173791045,0.6779661016949152,0.84375,0.6585365853658537,0.7397260273972602,importants/irl_matrix_2023q1/models/irl_h9m_t6m_fixed_seq.pth
9,9,6,291,True,15,232,59,0.7311046511627907,0.9010608786129786,0.5932203389830508,0.8064516129032258,0.5813953488372093,0.6756756756756757,importants/irl_matrix_2023q1/models/irl_h9m_t9m_fixed_seq.pth
9,12,6,291,True,15,232,59,0.7015050167224081,0.9118365686817567,0.6271186440677966,0.8529411764705882,0.6304347826086957,0.725,importants/irl_matrix_2023q1/models/irl_h9m_t12m_fixed_seq.pth
12,3,6,291,True,15,232,59,0.8166666666666668,0.9077679525101652,0.6779661016949152,0.8125,0.6666666666666666,0.7323943661971831,importants/irl_matrix_2023q1/models/irl_h12m_t3m_fixed_seq.pth
12,6,6,291,True,15,232,59,0.8170731707317074,0.9180128217739951,0.6440677966101694,0.8571428571428571,0.5853658536585366,0.6956521739130435,importants/irl_matrix_2023q1/models/irl_h12m_t6m_fixed_seq.pth
12,9,6,291,True,15,232,59,0.7209302325581395,0.8992795491297695,0.6101694915254238,0.8333333333333334,0.5813953488372093,0.684931506849315,importants/irl_matrix_2023q1/models/irl_h12m_t9m_fixed_seq.pth
12,12,6,291,True,15,232,59,0.7399665551839465,0.9223401694908369,0.6440677966101694,0.8571428571428571,0.6521739130434783,0.7407407407407407,importants/irl_matrix_2023q1/models/irl_h12m_t12m_fixed_seq.pth
