,0-3m,3-6m,6-9m,9-12m
0-3m,0.875,0.6363636363636364,0.8333333333333334,0.625
3-6m,0.75,0.8888888888888888,0.6666666666666666,0.5555555555555556
6-9m,1.0,0.7,0.8,0.7
9-12m,0.6666666666666666,0.8,0.38461538461538464,0.6
