,0-3m,3-6m,6-9m,9-12m
0-3m,1.0,0.8235294117647058,0.8421052631578947,0.7241379310344828
3-6m,1.0,0.8108108108108109,0.8181818181818182,0.7384615384615385
6-9m,1.0,0.8311688311688312,0.8181818181818182,0.7246376811594203
9-12m,1.0,0.8311688311688312,0.8285714285714286,0.746268656716418
